DATO,VARE,KATEGORI,ANTAL,ENHEDSPRIS,BUTIK,PERSON,IALT
10/04/2024,Tomater,Frugt/grønt,1,15.00,365,Nikoline,15.00
10/04/2024,Tun I vand,Kolonial,1,38.00,365,Nikoline,38.00
10/04/2024,Mathilde kakao,Mejeri,1,7.95,365,Nikoline,7.95
10/04/2024,Instant kaffe,Kolonial,1,35.75,365,Nikoline,35.75
10/04/2024,Oliven,Kolonial,1,23.95,365,Nikoline,23.95
10/04/2024,Citronmåne,Snacks/slik,1,20.00,Rema 1000,Isabella,20.00
10/04/2024,Blomsterkort,Andet,1,5.00,Rema 1000,Isabella,5.00
10/04/2024,Lagkagediagram,Andet,1,10.00,Rema 1000,Isabella,10.00
10/04/2024,Pepsi Max,Alkohol/soda,1,16.00,Meny,Anna,16.00
10/04/2024,Grillost,Mejeri,1,16.00,Meny,Anna,16.00
